INFO 2026-03-06 12:24:26,170 log 33800 14324 "GET /api/verify-token/ HTTP/1.1" 200 66
INFO 2026-03-06 12:24:26,193 log 33800 40636 "GET /api/seller/quick-deals/ HTTP/1.1" 200 1069
INFO 2026-03-06 12:24:26,197 log 33800 31068 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:24:26,221 log 33800 40636 "GET /api/seller/quick-deals/ HTTP/1.1" 200 1069
INFO 2026-03-06 12:24:26,225 log 33800 31068 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:24:40,713 log 33800 31068 "POST /api/login/ HTTP/1.1" 200 582
INFO 2026-03-06 12:24:40,721 log 33800 31068 "OPTIONS /api/cart/items/ HTTP/1.1" 200 0
INFO 2026-03-06 12:24:41,169 log 33800 34988 "OPTIONS /api/quick-deals/ HTTP/1.1" 200 0
INFO 2026-03-06 12:24:41,173 log 33800 34988 "OPTIONS /api/quick-deals/ HTTP/1.1" 200 0
INFO 2026-03-06 12:24:41,360 log 33800 31068 "GET /api/cart/items/ HTTP/1.1" 200 77
INFO 2026-03-06 12:24:41,390 log 33800 40636 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:24:41,408 log 33800 40636 "GET /api/categories/ HTTP/1.1" 200 132
INFO 2026-03-06 12:24:41,409 log 33800 14324 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:24:41,411 log 33800 34988 "GET /api/quick-deals/ HTTP/1.1" 200 1214
INFO 2026-03-06 12:24:41,417 log 33800 40636 "OPTIONS /api/wishlist/ HTTP/1.1" 200 0
INFO 2026-03-06 12:24:41,442 log 33800 14324 "GET /api/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:24:41,451 log 33800 34988 "GET /api/quick-deals/ HTTP/1.1" 200 1214
INFO 2026-03-06 12:24:42,056 log 33800 40636 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:24:42,095 log 33800 34988 "OPTIONS /api/liked-products/ HTTP/1.1" 200 0
INFO 2026-03-06 12:24:42,104 log 33800 40636 "GET /api/wishlist/ HTTP/1.1" 200 2
INFO 2026-03-06 12:24:42,146 log 33800 34988 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:24:42,160 log 33800 34988 "GET /api/liked-products/ HTTP/1.1" 200 2
INFO 2026-03-06 12:24:47,697 log 33800 34988 "OPTIONS /api/buyer/profile/ HTTP/1.1" 200 0
INFO 2026-03-06 12:24:47,699 log 33800 40636 "OPTIONS /api/buyer/profile/ HTTP/1.1" 200 0
INFO 2026-03-06 12:24:47,706 log 33800 34988 "GET /api/buyer/profile/ HTTP/1.1" 200 99
INFO 2026-03-06 12:24:47,718 log 33800 40636 "GET /api/verify-token/ HTTP/1.1" 200 60
INFO 2026-03-06 12:24:47,719 log 33800 34988 "GET /api/buyer/profile/ HTTP/1.1" 200 99
INFO 2026-03-06 12:24:47,728 log 33800 40636 "GET /api/verify-token/ HTTP/1.1" 200 60
INFO 2026-03-06 12:30:26,076 autoreload 41892 31400 Watching for file changes with StatReloader
INFO 2026-03-06 12:30:56,173 log 41892 38148 "POST /api/login/ HTTP/1.1" 200 588
INFO 2026-03-06 12:31:19,044 log 41892 38148 "POST /api/login/ HTTP/1.1" 200 588
INFO 2026-03-06 12:31:19,195 log 41892 38148 "GET /api/seller/quick-deals/ HTTP/1.1" 200 1069
INFO 2026-03-06 12:31:19,221 log 41892 15444 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:31:19,241 log 41892 38148 "GET /api/seller/quick-deals/ HTTP/1.1" 200 1069
INFO 2026-03-06 12:31:19,261 log 41892 12828 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:31:19,413 log 41892 27404 "GET /media/products/0a967922e19eb7d22aae18f1c2b98afe.jpg HTTP/1.1" 200 108899
INFO 2026-03-06 12:31:19,587 log 41892 2452 "GET /media/quickdeals/0ac3ddd60590b73a4f70791e95b6dd42.jpg HTTP/1.1" 304 0
INFO 2026-03-06 12:31:32,755 log 41892 38148 "POST /api/seller/quick-deals/ HTTP/1.1" 201 1068
INFO 2026-03-06 12:31:34,230 log 41892 38148 "GET /api/seller/quick-deals/ HTTP/1.1" 200 2138
INFO 2026-03-06 12:31:34,316 log 41892 2452 "GET /media/quickdeals/0ac658891f0fb946167a4347a944f1db.jpg HTTP/1.1" 200 213525
INFO 2026-03-06 12:31:37,164 log 41892 33628 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:31:37,180 log 41892 38148 "GET /api/seller/quick-deals/ HTTP/1.1" 200 2138
INFO 2026-03-06 12:31:37,194 log 41892 38460 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:31:37,209 log 41892 36040 "GET /api/seller/quick-deals/ HTTP/1.1" 200 2138
INFO 2026-03-06 12:31:38,446 log 41892 36040 "GET /api/seller/quick-deals/ HTTP/1.1" 200 2138
INFO 2026-03-06 12:31:38,453 log 41892 8756 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:31:38,479 log 41892 36040 "GET /api/seller/quick-deals/ HTTP/1.1" 200 2138
INFO 2026-03-06 12:31:38,484 log 41892 13936 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:31:57,010 log 41892 29036 "GET /api/seller/profile/ HTTP/1.1" 200 276
INFO 2026-03-06 12:31:57,025 log 41892 33852 "GET /api/seller/profile/ HTTP/1.1" 200 276
INFO 2026-03-06 12:31:57,031 log 41892 9768 "GET /api/seller/stats/ HTTP/1.1" 200 115
INFO 2026-03-06 12:31:57,045 log 41892 30012 "GET /api/seller/stats/ HTTP/1.1" 200 115
INFO 2026-03-06 12:31:59,275 log 41892 29756 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:31:59,282 log 41892 36040 "GET /api/seller/quick-deals/ HTTP/1.1" 200 2138
INFO 2026-03-06 12:31:59,302 log 41892 31260 "GET /api/seller/products/ HTTP/1.1" 200 763
INFO 2026-03-06 12:31:59,312 log 41892 36040 "GET /api/seller/quick-deals/ HTTP/1.1" 200 2138
WARNING 2026-03-06 12:32:21,380 log 41892 36040 Unauthorized: /api/login/
WARNING 2026-03-06 12:32:21,383 log 41892 36040 "POST /api/login/ HTTP/1.1" 401 31
INFO 2026-03-06 12:32:21,397 log 41892 36040 "OPTIONS /api/auth/jwt/refresh/ HTTP/1.1" 200 0
INFO 2026-03-06 12:32:21,463 log 41892 36040 "POST /api/auth/jwt/refresh/ HTTP/1.1" 200 244
WARNING 2026-03-06 12:32:21,471 log 41892 36040 Unauthorized: /api/login/
WARNING 2026-03-06 12:32:21,476 log 41892 36040 "POST /api/login/ HTTP/1.1" 401 31
WARNING 2026-03-06 12:32:57,256 log 41892 37924 Not Found: /
WARNING 2026-03-06 12:32:57,284 log 41892 37924 "GET / HTTP/1.1" 404 2777
WARNING 2026-03-06 12:32:57,554 log 41892 37924 Not Found: /favicon.ico
WARNING 2026-03-06 12:32:57,556 log 41892 37924 "GET /favicon.ico HTTP/1.1" 404 2828
WARNING 2026-03-06 12:33:00,976 base 41892 41844 Session data corrupted
INFO 2026-03-06 12:33:01,071 log 41892 41844 "GET /admin/ HTTP/1.1" 302 0
WARNING 2026-03-06 12:33:01,077 base 41892 41844 Session data corrupted
INFO 2026-03-06 12:33:01,482 log 41892 41844 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4084
INFO 2026-03-06 12:33:01,569 log 41892 36936 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-03-06 12:33:01,577 log 41892 9016 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-03-06 12:33:01,583 log 41892 24316 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-03-06 12:33:01,583 log 41892 22036 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-03-06 12:33:01,590 log 41892 39632 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
